Net,From,To,Notes
+5V_USB,J1 VBUS,U2 VIN;J5 +5V,"USB-C input rail; backlight driver powered from 5V"
GND,J1 GND,U1 GND;U2 GND;U3 VSS;J2 GND;J3 GND;J4 GND;J5 GND,"Solid ground plane"
USB_CC1,J1 CC1,R_CC1 5.1k to GND,"USB-C sink Rd"
USB_CC2,J1 CC2,R_CC2 5.1k to GND,"USB-C sink Rd"
USB_DM,J1 D-,R_USB_DM 22R -> U1 GPIO19,"Native USB D-"
USB_DP,J1 D+,R_USB_DP 22R -> U1 GPIO20,"Native USB D+"
+3V3_SYS,U2 VOUT,U1 3V3;U3 VDD;J2 pin3;J3 3V3;J4 optional 3V3,"Main logic rail"
REG_EN,+5V_USB,U2 EN,"Provision resistor/test pad"
REG_PG,U2 PG,Test pad / optional pull-up to +3V3_SYS,"Power-good"
ESP_EN,+3V3_SYS via 10k,U1 EN;RESET switch to GND;1uF to GND,"Reset network"
ESP_BOOT,+3V3_SYS via 10k,U1 GPIO0;BOOT switch to GND,"Boot mode"
LCD_D0,U1 GPIO4,J2 pin16 B1,"RGB565 blue bit0"
LCD_D1,U1 GPIO5,J2 pin17 B2,"RGB565"
LCD_D2,U1 GPIO6,J2 pin18 B3,"RGB565"
LCD_D3,U1 GPIO7,J2 pin19 B4,"RGB565"
LCD_D4,U1 GPIO8,J2 pin20 B5,"RGB565"
LCD_D5,U1 GPIO9,J2 pin21 G0,"RGB565"
LCD_D6,U1 GPIO10,J2 pin22 G1,"RGB565"
LCD_D7,U1 GPIO11,J2 pin23 G2,"RGB565"
LCD_D8,U1 GPIO12,J2 pin24 G3,"RGB565"
LCD_D9,U1 GPIO13,J2 pin25 G4,"RGB565"
LCD_D10,U1 GPIO14,J2 pin26 G5,"RGB565"
LCD_D11,U1 GPIO15,J2 pin28 R1,"RGB565"
LCD_D12,U1 GPIO16,J2 pin29 R2,"RGB565"
LCD_D13,U1 GPIO17,J2 pin30 R3,"RGB565"
LCD_D14,U1 GPIO18,J2 pin31 R4,"RGB565"
LCD_D15,U1 GPIO21,J2 pin32 R5,"RGB565"
LCD_B0,GND,J2 pin15,"Tie low for RGB565"
LCD_R0,GND,J2 pin27,"Tie low for RGB565"
LCD_PCLK,U1 GPIO1,J2 pin13,"Optional source-series resistor footprint"
LCD_DE,U1 GPIO2,J2 pin14,"Data enable"
LCD_HSYNC,U1 GPIO38,J2 pin12,"HSYNC"
LCD_VSYNC,U1 GPIO39,J2 pin11,"VSYNC"
SPI_MOSI,U1 GPIO35,J2 pin37 SDA;J3 MOSI,"Shared LCD-init/BMI088 MOSI"
SPI_SCLK,U1 GPIO36,J2 pin35 SCL;J3 SCLK,"Shared LCD-init/BMI088 clock"
SPI_MISO,U1 GPIO37,J3 MISO,"BMI088 only"
BMI_ACC_CS,U1 GPIO40,J3 ACC_CS,"Accelerometer CS"
BMI_GYRO_CS,U1 GPIO41,J3 GYRO_CS,"Gyro CS"
LCD_CS,U3 GP0,J2 pin34 CSX,"Low-speed expander control"
LCD_RESET,U3 GP1,J2 pin33 RESETX,"Low-speed expander control"
LCD_DCX,J2 pin36,Test pad / DNP,"Unused in selected 9-bit 3-wire mode"
LCD_IM0,GND,J2 pin38,"RGB + 9-bit SPI strap"
LCD_IM1,+3V3_SYS,J2 pin39,"RGB + 9-bit SPI strap"
LCD_IM2,GND,J2 pin40,"RGB + 9-bit SPI strap"
IOX_SDA,U1 GPIO47,U3 SDA,"4.7k pull-up to +3V3_SYS"
IOX_SCL,U1 GPIO48,U3 SCL,"4.7k pull-up to +3V3_SYS"
IOX_INT,U3 INT,U1 GPIO43,"Interrupt-on-change"
IOX_ADDR0,GND,U3 A0,"Address 0x20"
IOX_ADDR1,GND,U3 A1,"Address 0x20"
IOX_ADDR2,GND,U3 A2,"Address 0x20"
ENC_A,U3 GP2,J4 ENC_A,"Rotary encoder A"
ENC_B,U3 GP3,J4 ENC_B,"Rotary encoder B"
ENC_SW,U3 GP4,J4 ENC_SW,"Encoder push switch"
IOX_GP5,U3 GP5,Test pad,"Spare"
IOX_GP6,U3 GP6,Test pad,"Spare"
IOX_GP7,U3 GP7,Test pad,"Spare"
BACKLIGHT_PWM,U1 GPIO42,J5 PWM,"Backlight brightness control"
LED_A,J5 LED_A,J2 pin2,"From TPS61169 driver"
LED_K,J5 LED_K,J2 pin1,"From TPS61169 driver"
SPARE_DEBUG,U1 GPIO44,Test pad,"Reserved diagnostics"
STRAP_GPIO3,U1 GPIO3,No operational load,"Reserved strap"
STRAP_GPIO45,U1 GPIO45,No operational load,"Reserved strap"
STRAP_GPIO46,U1 GPIO46,No operational load,"Reserved strap"
